DATA,REGIO_CODI,REGIO,AGA_CODI,AGA,SECTOR_CODI,SECTOR,ABS_CODI,ABS,SEXE_CODI,SEXE,EDAT,POBLACIO_DIANA,VACUNACIO_INICIADA,VACUNACIO_COMPLETADA
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,384,CERDANYOLA-RIPOLLET,0,Home,15 a 19,399,362,349
12/01/2022,7801,METROPOLITANA SUD,63,Baix Llobregat Litoral i Viladecans,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,266,VILADECANS 2,1,Dona,0 a 11,905,334,28
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,335,SANT ANDREU DE LLAVANERES,0,Home,25 a 29,485,392,380
12/01/2022,7801,METROPOLITANA SUD,24,Baix Llobregat Centre i Fontsanta -L'H N,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,261,VALLIRANA,0,Home,30 a 34,603,476,453
12/01/2022,7803,BARCELONA CIUTAT,46,Barcelona Esquerra,7848,BARCELONA LES CORTS,040,BARCELONA 4-B,1,Dona,0 a 11,925,267,24
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,388,SANT CUGAT DEL VALLÈS-1,1,Dona,70 a 74,768,717,714
12/01/2022,6700,CATALUNYA CENTRAL,19,Anoia,6735,ANOIA,372,IGUALADA-2,1,Dona,60 a 64,700,643,632
12/01/2022,6200,CAMP DE TARRAGONA,09,Tarragonès,6258,TARRAGONÈS-BAIX PENEDÈS,241,TARRAGONA 3,1,Dona,70 a 74,914,865,856
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7853,BARCELONA HORTA-GUINARDÓ,055,BARCELONA 7-E,1,Dona,25 a 29,904,745,716
12/01/2022,6200,CAMP DE TARRAGONA,07,Baix Camp i Priorat,6259,BAIX CAMP-PRIORAT,091,CAMBRILS,1,Dona,0 a 11,1894,347,33
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7853,BARCELONA HORTA-GUINARDÓ,054,BARCELONA 7-D,0,Home,12 a 14,396,284,211
12/01/2022,7803,BARCELONA CIUTAT,46,Barcelona Esquerra,7849,BARCELONA SANTS-MONTJUÏC,038,BARCELONA 3-G,0,Home,40 a 44,986,851,844
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,167,NAVÀS/BALSARENY,0,Home,15 a 19,245,207,195
12/01/2022,7802,METROPOLITANA NORD,69,Vallès Oriental Central,7842,VALLÈS ORIENTAL,284,GRANOLLERS 1 -OEST,1,Dona,40 a 44,979,838,822
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,211,NAVARCLES - SANT FRUITÓS DE BAGES,0,Home,60 a 64,820,772,770
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7854,BARCELONA NOU BARRIS,059,BARCELONA 8-C,1,Dona,55 a 59,919,819,812
12/01/2022,7803,BARCELONA CIUTAT,46,Barcelona Esquerra,7848,BARCELONA LES CORTS,039,BARCELONA 4-A,1,Dona,60 a 64,1160,1085,1074
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,148,MANRESA 4,1,Dona,40 a 44,853,727,710
12/01/2022,7801,METROPOLITANA SUD,65,Baix Llobregat Nord,7831,BAIX LLOBREGAT NORD,115,ESPARREGUERA,1,Dona,65 a 69,729,664,654
12/01/2022,6400,GIRONA,57,Gironès Nord i Pla de l'Estany,6462,GIRONA SUD,126,GIRONA 3,0,Home,20 a 24,1113,887,837
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,096,CARDONA,0,Home,60 a 64,185,173,172
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7855,BARCELONA SANT ANDREU,070,BARCELONA 9-F,0,Home,25 a 29,396,293,275
12/01/2022,6300,TERRES DE L'EBRE,48,Altebrat,6360,TERRES DE L'EBRE,165,MÓRA LA NOVA - MÓRA D'EBRE,0,Home,45 a 49,571,475,468
12/01/2022,6100,LLEIDA,05,Lleida,6156,LLEIDA,012,ARTESA DE SEGRE,0,Home,75 a 79,100,97,97
12/01/2022,6400,GIRONA,55,Alt Maresme,6462,GIRONA SUD,325,PINEDA,1,Dona,30 a 34,797,642,625
12/01/2022,7803,BARCELONA CIUTAT,70,Barcelona Dreta,7851,BARCELONA EIXAMPLE,029,BARCELONA 2-I,1,Dona,30 a 34,1070,866,841
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,390,SANT CUGAT DEL VALLÈS-3,0,Home,55 a 59,1041,998,991
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,254,VALL DEL GES,1,Dona,65 a 69,628,580,566
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,252,TERRASSA F,0,Home,70 a 74,896,853,842
12/01/2022,6200,CAMP DE TARRAGONA,07,Baix Camp i Priorat,6259,BAIX CAMP-PRIORAT,303,REUS 1,1,Dona,65 a 69,367,332,327
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,186,PREMIÀ DE MAR,1,Dona,80 o més,1541,1469,1459
12/01/2022,7803,BARCELONA CIUTAT,70,Barcelona Dreta,7853,BARCELONA HORTA-GUINARDÓ,051,BARCELONA 7-A,0,Home,35 a 39,790,635,614
12/01/2022,6200,CAMP DE TARRAGONA,09,Tarragonès,6258,TARRAGONÈS-BAIX PENEDÈS,339,SALOU,0,Home,45 a 49,1468,1180,1167
12/01/2022,6700,CATALUNYA CENTRAL,22,Osona,6745,OSONA,253,TONA,1,Dona,30 a 34,311,265,251
12/01/2022,7801,METROPOLITANA SUD,24,Baix Llobregat Centre i Fontsanta -L'H N,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,109,CORNELLÀ DE LLOBREGAT 2,1,Dona,15 a 19,557,461,445
12/01/2022,6200,CAMP DE TARRAGONA,09,Tarragonès,6258,TARRAGONÈS-BAIX PENEDÈS,257,TORREDEMBARRA,0,Home,12 a 14,736,486,360
12/01/2022,6400,GIRONA,57,Gironès Nord i Pla de l'Estany,6462,GIRONA SUD,127,GIRONA 4,1,Dona,12 a 14,309,199,161
12/01/2022,7801,METROPOLITANA SUD,64,Baix Llobregat Litoral i Sant Boi,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,375,SANT VICENÇ DELS HORTS 2,0,Home,80 o més,254,240,239
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7867,BARCELONÈS NORD I MARESME,312,SANT ADRIÀ DEL BESÒS 2,0,Home,35 a 39,623,514,490
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,158,MATARÓ 7,1,Dona,80 o més,662,619,615
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,104,CERDANYOLA DEL VALLÈS 1,0,Home,55 a 59,877,826,820
12/01/2022,6400,GIRONA,55,Alt Maresme,6462,GIRONA SUD,090,CALELLA,1,Dona,70 a 74,546,520,514
12/01/2022,7801,METROPOLITANA SUD,64,Baix Llobregat Litoral i Sant Boi,7866,BAIX LLOBREGAT CENTRE-LITORAL I L'H,204,SANT BOI DE LLOBREGAT 3,0,Home,45 a 49,478,435,428
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,155,MATARÓ 4,0,Home,65 a 69,562,535,531
12/01/2022,6200,CAMP DE TARRAGONA,09,Tarragonès,6258,TARRAGONÈS-BAIX PENEDÈS,339,SALOU,0,Home,70 a 74,496,435,428
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,356,TERRASSA-G,1,Dona,65 a 69,622,575,565
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,384,CERDANYOLA-RIPOLLET,1,Dona,60 a 64,394,359,357
12/01/2022,7801,METROPOLITANA SUD,65,Baix Llobregat Nord,7831,BAIX LLOBREGAT NORD,168,OLESA DE MONTSERRAT,1,Dona,30 a 34,643,497,480
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,252,TERRASSA F,0,Home,80 o més,877,839,834
12/01/2022,7802,METROPOLITANA NORD,30,Barcelonès Nord i Baix Maresme,7867,BARCELONÈS NORD I MARESME,368,SANTA COLOMA DE GRAMENET 6,0,Home,35 a 39,741,591,573
12/01/2022,7801,METROPOLITANA SUD,61,Alt Penedès,7865,ALT PENEDÈS-GARRAF,397,VILAFRANCA DEL PENEDÈS 1,1,Dona,20 a 24,545,466,451
12/01/2022,6400,GIRONA,58,Gironès Sud i Selva Interior,6462,GIRONA SUD,221,SANTA COLOMA DE FARNERS,1,Dona,40 a 44,619,523,513
12/01/2022,7802,METROPOLITANA NORD,30,Barcelonès Nord i Baix Maresme,7867,BARCELONÈS NORD I MARESME,272,BADALONA 1,0,Home,15 a 19,382,352,344
12/01/2022,6700,CATALUNYA CENTRAL,59,Bages i Solsonès,6763,SOLSONÈS-BAGES-BERGUEDÀ,200,SALLENT,1,Dona,35 a 39,182,145,138
12/01/2022,7803,BARCELONA CIUTAT,71,Barcelona Litoral Mar,7846,BARCELONA CIUTAT VELLA,016,BARCELONA 1-A,1,Dona,75 a 79,290,272,269
12/01/2022,7801,METROPOLITANA SUD,61,Alt Penedès,7865,ALT PENEDÈS-GARRAF,218,SANT SADURNÍ D'ANOIA,0,Home,45 a 49,1039,889,876
12/01/2022,7802,METROPOLITANA NORD,66,Vallès Occidental Oest,7843,VALLÈS OCCIDENTAL OEST,356,TERRASSA-G,1,Dona,15 a 19,704,631,599
12/01/2022,7803,BARCELONA CIUTAT,47,Barcelona Nord,7850,BARCELONA SARRIÀ-SANT GERVASI,046,BARCELONA 5-E,0,Home,0 a 11,1578,418,28
12/01/2022,7802,METROPOLITANA NORD,33,Maresme Central,7867,BARCELONÈS NORD I MARESME,010,ARGENTONA,0,Home,60 a 64,597,559,556
12/01/2022,7801,METROPOLITANA SUD,62,Garraf,7865,ALT PENEDÈS-GARRAF,359,CUBELLES-CUNIT,0,Home,20 a 24,770,610,573
12/01/2022,7801,METROPOLITANA SUD,62,Garraf,7865,ALT PENEDÈS-GARRAF,359,CUBELLES-CUNIT,0,Home,15 a 19,896,789,759
12/01/2022,7802,METROPOLITANA NORD,35,Vallès Occidental Est,7844,VALLÈS OCCIDENTAL EST,105,CERDANYOLA DEL VALLÈS 2,0,Home,30 a 34,605,495,479
12/01/2022,6400,GIRONA,57,Gironès Nord i Pla de l'Estany,6462,GIRONA SUD,015,BANYOLES,1,Dona,50 a 54,1181,1039,1027
12/01/2022,6200,CAMP DE TARRAGONA,06,Alt Camp i Conca de Barberà,6257,ALT CAMP-CONCA DE BARBERÀ,263,VALLS URBÀ,0,Home,15 a 19,810,692,674
12/01/2022,6400,GIRONA,57,Gironès Nord i Pla de l'Estany,6462,GIRONA SUD,127,GIRONA 4,0,Home,60 a 64,473,438,430
12/01/2022,6400,GIRONA,53,Garrotxa,6461,GIRONA NORD,083,BESALÚ,0,Home,75 a 79,119,113,111
12/01/2022,6200,CAMP DE TARRAGONA,07,Baix Camp i Priorat,6259,BAIX CAMP-PRIORAT,306,REUS 4,0,Home,0 a 11,1290,215,18
